Supergroup,Taxa_group,Phylum,Order,Family,Genus,Final_ID,Primer
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_sp,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_sp,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_gibbosus,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_gibbosus,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_macrochirus,MiFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,Ambloplites_rupestris,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,Ambloplites_rupestris,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,Ambloplites_rupestris,MiFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Micropterus,Micropterus_salmoides,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Micropterus,Micropterus_salmoides,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Micropterus,Micropterus_salmoides,MiFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Pomoxis,Pomoxis_nigromaculatus,COIFish
Vertebrate,Fish,Chordata,Perciformes,Percidae,Perca,Perca_flavescens,COIFish
Vertebrate,Fish,Chordata,Perciformes,Percidae,Perca,Perca_flavescens,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Percidae,Etheostoma,Etheostoma_olmstedi,COIFishdegen
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_natalis,COIFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_natalis,COIFishdegen
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_natalis,MiFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_nebulosus,COIFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_nebulosus,COIFishdegen
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_nebulosus,MiFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Noturus,Noturus_gyrinus,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,Chrosomus_eos,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,Chrosomus_eos,COIFishdegen
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,Chrosomus_eos,MiFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,Chrosomus_neogaeus,MiFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,Pimephales_promelas,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,Pimephales_promelas,COIFishdegen
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,Pimephales_promelas,MiFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,Pimephales_notatus,COIFishdegen
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Hybognathus,Hybognathus_regius,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Notemigonus,Notemigonus_crysoleucas,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Notemigonus,Notemigonus_crysoleucas,COIFishdegen
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Notropis,Notropis_heterodon,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Notropis,Notropis_heterodon,COIFishdegen
Vertebrate,Fish,Chordata,Cypriniformes,Leuciscidae,Notropis,Notropis_heterodon,MiFish
Vertebrate,Fish,Chordata,Cypriniformes,Catostomidae,Catostomus,Catostomus_sp,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Catostomidae,Catostomus,Catostomus_commersonii,COIFish
Vertebrate,Fish,Chordata,Cypriniformes,Catostomidae,Catostomus,Catostomus_commersonii,COIFishdegen
Vertebrate,Fish,Chordata,Cypriniformes,Catostomidae,Moxostoma,Moxostoma_anisurum,COIFishdegen
Vertebrate,Fish,Chordata,Esociformes,Esocidae,Esox,Esox_lucius,COIFish
Vertebrate,Fish,Chordata,Esociformes,Esocidae,Esox,Esox_lucius,COIFishdegen
Vertebrate,Fish,Chordata,Esociformes,Umbridae,Umbra,Umbra_limi,COIFish
Vertebrate,Fish,Chordata,Esociformes,Umbridae,Umbra,Umbra_limi,COIFishdegen
Vertebrate,Fish,Chordata,Gobiiformes,Gobiidae,Neogobius,Neogobius_melanostomus,COIFish
Vertebrate,Fish,Chordata,Gobiiformes,Gobiidae,Neogobius,Neogobius_melanostomus,COIFishdegen
Vertebrate,Fish,Chordata,Gobiiformes,Gobiidae,Neogobius,Neogobius_melanostomus,MiFish
Vertebrate,Fish,Chordata,Gobiiformes,Gobiidae,Proterorhinus,Proterorhinus_semilunaris,COIFishdegen
Vertebrate,Fish,Chordata,Gobiiformes,Gobiidae,Proterorhinus,Proterorhinus_semilunaris,MiFish
Vertebrate,Fish,Chordata,Scorpaeniformes,Gasterosteidae,Culaea,Culaea_inconstans,COIFish
Vertebrate,Fish,Chordata,Scorpaeniformes,Gasterosteidae,Culaea,Culaea_inconstans,COIFishdegen
Vertebrate,Fish,Chordata,Scorpaeniformes,Gasterosteidae,Culaea,Culaea_inconstans,MiFish
Vertebrate,Fish,Chordata,Petromyzontiformes,Petromyzontidae,Petromyzon,Petromyzon_marinus,MiFish
Vertebrate,Fish,Chordata,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus_diaphanus,COIFish
Vertebrate,Fish,Chordata,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus_diaphanus,COIFishdegen
Vertebrate,Fish,Chordata,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus_diaphanus,MiFish
Vertebrate,Fish,Chordata,Amiiformes,Amiidae,Amia,Amia_calva,COIFishdegen
Vertebrate,Fish,Chordata,Salmoniformes,Salmonidae,Coregonus,Coregonus_clupeaformis,COIFishdegen